units_sold,low_price,high_price,year,month,year_date,is_ev_dummy,body_type,brand,brand_country
69098,316.9,417.9,2022,November,2022-11-01,1,SUV,Tesla,United States
68567,32.8,99.9,2022,November,2022-11-01,1,Hatchback,Wuling Motors,China
64145,152.8,216.8,2022,November,2022-11-01,1,SUV,BYD,China
31786,214.8,329.8,2022,November,2022-11-01,1,Sedan,BYD,China
31193,266.7,339.9,2022,November,2022-11-01,1,Sedan,Tesla,United States
29402,137.8,165.8,2022,November,2022-11-01,1,SUV,BYD,China
28867,100.9,159.9,2022,November,2022-11-01,0,Hatchback,Volkswagen,Germany
26063,102.8,136.8,2022,November,2022-11-01,1,Hatchback,BYD,China
25498,111.8,175.8,2022,November,2022-11-01,1,Sedan,BYD,China
24929,99.8,174.9,2022,November,2022-11-01,0,Sedan,Nissan,Japan
22123,85.8,99.8,2022,November,2022-11-01,0,SUV,MG,China
21860,179.8,269.8,2022,November,2022-11-01,0,Sedan,Toyota,Japan
21582,109.8,159.8,2022,November,2022-11-01,0,Sedan,Toyota,Japan
21148,98.9,157,2022,November,2022-11-01,0,SUV,Great Wall,China
20089,117.9,154.9,2022,November,2022-11-01,0,SUV,Changan,China
20020,205.8,339.8,2022,November,2022-11-01,1,SUV,BYD,China
19837,169.8,259.8,2022,November,2022-11-01,0,Sedan,Honda,Japan
18560,209.9,309.9,2022,November,2022-11-01,0,SUV,Buick,United States
17902,181.9,252.9,2022,November,2022-11-01,0,Sedan,Volkswagen,Germany
17739,75.8,119.8,2022,November,2022-11-01,0,SUV,Geely Automobile,China
17375,127.9,172.9,2022,November,2022-11-01,0,Sedan,Volkswagen,Germany
16781,69.9,129.8,2022,November,2022-11-01,0,Hatchback,Geely Automobile,China
15356,209.8,286.8,2022,November,2022-11-01,1,Sedan,BYD,China
15323,139.8,179.8,2022,November,2022-11-01,0,Sedan,GAC Aion,China
14652,67.9,99.9,2022,November,2022-11-01,0,NA,MG,China
14495,111.8,152.8,2022,November,2022-11-01,0,Sedan,Toyota,Japan
13881,46,59.9,2022,November,2022-11-01,0,MPV,Wuling Motors,China
13558,325.2,377.3,2022,November,2022-11-01,0,Sedan,Mercedes-Benz,Germany
13235,48.9,63.9,2022,November,2022-11-01,1,Hatchback,Changan,China
12870,129.8,169.8,2022,November,2022-11-01,0,SUV,Toyota,Japan
12797,149.9,189.9,2022,November,2022-11-01,0,Hatchback,Volkswagen,Germany
12773,113.7,152.7,2022,November,2022-11-01,0,Sedan,Geely Automobile,China
12567,169.8,276.8,2022,November,2022-11-01,0,SUV,Honda,Japan
12234,125.8,169.8,2022,November,2022-11-01,0,SUV,Toyota,Japan
11920,232.9,533.9,2022,November,2022-11-01,0,MPV,Buick,United States
11560,137.6,202.6,2022,November,2022-11-01,1,SUV,GAC Aion,China
11514,95.8,168.9,2022,November,2022-11-01,0,SUV,Chery,China
11500,406.3,476.8,2022,November,2022-11-01,0,SUV,Mercedes-Benz,Germany
11451,86.9,149.9,2022,November,2022-11-01,0,SUV,Chery,China
11263,79.9,123.8,2022,November,2022-11-01,1,SUV,Hozon,China
11220,79.9,170.9,2022,November,2022-11-01,0,SUV,Chery,China
11208,137.2,185.2,2022,November,2022-11-01,0,SUV,Geely Automobile,China
11011,299,386,2022,November,2022-11-01,0,NA,Zeekr,China
10909,171.8,248.8,2022,November,2022-11-01,0,SUV,Toyota,Japan
10898,175.8,260.8,2022,November,2022-11-01,0,SUV,Toyota,Japan
10820,293.9,409.9,2022,November,2022-11-01,0,Sedan,BMW,Germany
10599,92.9,125.9,2022,November,2022-11-01,0,SUV,Changan,China
10497,72.9,103.9,2022,November,2022-11-01,0,Hatchback,Changan,China
10489,69.8,109.8,2022,November,2022-11-01,0,SUV,Wuling Motors,China
10297,204.9,264.9,2022,November,2022-11-01,0,SUV,Volkswagen,Germany
10251,396.9,479.8,2022,November,2022-11-01,0,SUV,BMW,Germany
10151,129.9,187.9,2022,November,2022-11-01,0,Hatchback,Honda,Japan
10107,125.7,170.7,2022,November,2022-11-01,0,SUV,Geely Automobile,China
10106,186.9,309.9,2022,November,2022-11-01,0,Sedan,Volkswagen,Germany
10002,69.9,109.9,2022,November,2022-11-01,0,SUV,Changan,China
9995,199,283.8,2022,November,2022-11-01,0,SUV,Volkswagen,Germany
9899,305.8,396.8,2022,November,2022-11-01,0,Sedan,Audi,Germany
9832,396.8,488.8,2022,November,2022-11-01,0,SUV,Audi,Germany
9828,158.6,223.8,2022,November,2022-11-01,0,SUV,Volkswagen,Germany
9785,183.8,249.8,2022,November,2022-11-01,0,SUV,Hongqi,China
9619,436.8,556,2022,November,2022-11-01,0,Sedan,Mercedes-Benz,Germany
9124,279.7,360.7,2022,November,2022-11-01,0,Sedan,Cadillac,United States
9087,459.8,459.8,2022,November,2022-11-01,1,SUV,Li Auto,China
9022,196.8,249.8,2022,November,2022-11-01,0,Sedan,Buick,United States
8879,99.8,141.8,2022,November,2022-11-01,0,Hatchback,Hyundai,South Korea
8767,69.9,101.9,2022,November,2022-11-01,0,SUV,Chery,China
8735,119.9,167.9,2022,November,2022-11-01,0,SUV,Great Wall,China
8665,87.9,112.8,2022,November,2022-11-01,0,Hatchback,Volkswagen,Germany
8645,98.8,157,2022,November,2022-11-01,0,Sedan,Volkswagen,Germany
8462,198.8,302.8,2022,November,2022-11-01,0,SUV,Great Wall,China
8392,43.1,54.5,2022,November,2022-11-01,0,NA,Wuling Motors,China
8337,433.9,551.9,2022,November,2022-11-01,0,Sedan,BMW,Germany
8009,79.8,109.8,2022,November,2022-11-01,0,Sedan,Geely Automobile,China
7668,154.9,188.9,2022,November,2022-11-01,0,SUV,Nissan,Japan
7584,71.9,92.9,2022,November,2022-11-01,0,SUV,Great Wall,China
7381,605,775,2022,November,2022-11-01,0,SUV,BMW,Germany
7103,279.8,339.8,2022,November,2022-11-01,0,SUV,BMW,Germany
7072,169.8,252.8,2022,November,2022-11-01,0,SUV,Honda,Japan
7025,136.8,256.8,2022,November,2022-11-01,0,Sedan,Lynk & Co,China
6954,85.8,103.8,2022,November,2022-11-01,0,Hatchback,Toyota,Japan
6733,108.9,139.9,2022,November,2022-11-01,0,Hatchback,Changan,China
6686,81.8,108.8,2022,November,2022-11-01,0,Hatchback,Honda,Japan
6664,56.8,86.8,2022,November,2022-11-01,0,SUV,Wuling Motors,China
6625,179.8,369.8,2022,November,2022-11-01,0,MPV,GAC Group,China
6585,99.9,122.9,2022,November,2022-11-01,0,Sedan,Changan,China
6585,168.9,699.9,2022,November,2022-11-01,0,NA,Deepal,China
6540,129.8,186.8,2022,November,2022-11-01,0,NA,MG,China
6536,419.8,656.8,2022,November,2022-11-01,0,Sedan,Audi,Germany
6522,309.8,405.8,2022,November,2022-11-01,0,MPV,Toyota,Japan
6503,108.9,132.9,2022,November,2022-11-01,0,Sedan,Chery,China
6497,65.7,71.2,2022,November,2022-11-01,0,SUV,Dongfeng,China
6382,159.8,218.8,2022,November,2022-11-01,0,Sedan,Ford,United States
6371,199.8,289.8,2022,November,2022-11-01,0,Sedan,Toyota,Japan
6311,78.9,112.9,2022,November,2022-11-01,0,SUV,Great Wall,China
6239,50.9,57.6,2022,November,2022-11-01,0,NA,Wuling Motors,China
6210,142.8,153.8,2022,November,2022-11-01,1,Sedan,Dongfeng,China
